station,YYYY-MM-DD,daily_rain,daily_rain_source,max_temp,max_temp_source,min_temp,min_temp_source,vp,vp_source,vp_deficit,vp_deficit_source,evap_pan,evap_pan_source,evap_syn,evap_syn_source,evap_comb,evap_comb_source,evap_morton_lake,evap_morton_lake_source,radiation,radiation_source,rh_tmax,rh_tmax_source,rh_tmin,rh_tmin_source,et_short_crop,et_short_crop_source,et_tall_crop,et_tall_crop_source,et_morton_actual,et_morton_actual_source,et_morton_potential,et_morton_potential_source,et_morton_wet,et_morton_wet_source,mslp,mslp_source,metadata
66098,2010-01-31,    0.6,0, 27.0,25, 20.7,25, 25.0,25,  7.5,26,  6.5,25,  5.6,26,  6.5,25, 6.5,26, 24.2,42, 70.1,26,100.0,26,  4.6,26,  5.0,26, 6.4,26, 6.4,26, 6.4,26,1016.7,25,""
66098,2010-02-01,    0.0,0, 28.0,25, 21.8,25, 23.5,25, 11.0,26,  7.0,25,  5.5,26,  7.0,25, 6.3,26, 22.9,42, 62.2,26, 90.0,26,  4.8,26,  5.6,26, 5.5,26, 6.8,26, 6.1,26,1016.0,25,""
66098,2010-02-02,    0.0,0, 27.3,25, 22.4,25, 18.4,25, 15.4,26,  4.5,25,  5.9,26,  4.5,25, 5.8,26, 22.0,42, 50.7,26, 67.9,26,  5.2,26,  6.5,26, 3.5,26, 7.9,26, 5.7,26,1018.1,25,""
66098,2010-02-03,   15.4,0, 27.3,25, 21.2,25, 24.4,25,  8.8,26,  4.3,25,  5.4,26,  4.3,25, 6.5,26, 24.0,42, 67.3,26, 97.0,26,  4.7,26,  5.3,26, 6.3,26, 6.4,26, 6.4,26,1015.1,25,""
66098,2010-02-04,   10.4,0, 27.2,25, 21.9,25, 27.0,25,  6.4,26,  3.3,25,  4.2,26,  3.3,25, 5.1,26, 17.5,42, 74.9,26,100.0,26,  3.5,26,  3.9,26, 5.0,26, 5.0,26, 5.0,26,1014.1,25,""
66098,2010-02-05,    6.4,0, 26.7,25, 22.8,25, 26.5,25,  6.6,26,  5.6,25,  2.9,26,  5.6,25, 2.7,26,  8.8,42, 75.7,26, 95.5,26,  2.3,26,  2.8,26, 2.3,26, 3.0,26, 2.6,26,1010.2,25,""
66098,2010-02-06,   32.2,0, 22.3,25, 20.4,25, 24.1,25,  2.0,26,  2.9,25,  1.7,26,  2.9,25, 1.3,26,  4.7,42, 89.5,26,100.0,26,  1.2,26,  1.3,26, 1.3,26, 1.3,26, 1.3,26,1016.1,25,""
66098,2010-02-07,  102.2,0, 24.2,25, 20.1,25, 23.4,25,  5.0,26,  1.5,25,  3.0,26,  1.5,25, 3.1,26, 11.0,42, 77.5,26, 99.5,26,  2.4,26,  2.7,26, 3.1,26, 3.1,26, 3.1,26,1021.5,25,""
66098,2010-02-08,    7.0,0, 27.3,25, 20.8,25, 24.2,25,  8.8,26,  4.7,25,  4.9,26,  4.7,25, 5.5,26, 20.3,42, 66.7,26, 98.6,26,  4.1,26,  4.7,26, 5.3,26, 5.6,26, 5.4,26,1023.0,25,""
66098,2010-02-09,    1.4,0, 27.7,25, 22.7,25, 25.3,25,  9.2,26,  5.1,25,  5.7,26,  5.1,25, 6.9,26, 25.2,42, 68.1,26, 91.7,26,  5.0,26,  5.6,26, 6.7,26, 7.0,26, 6.8,26,1023.1,25,""
