station,YYYY-MM-DD,daily_rain,daily_rain_source,max_temp,max_temp_source,min_temp,min_temp_source,vp,vp_source,vp_deficit,vp_deficit_source,evap_pan,evap_pan_source,evap_syn,evap_syn_source,evap_comb,evap_comb_source,evap_morton_lake,evap_morton_lake_source,radiation,radiation_source,rh_tmax,rh_tmax_source,rh_tmin,rh_tmin_source,et_short_crop,et_short_crop_source,et_tall_crop,et_tall_crop_source,et_morton_actual,et_morton_actual_source,et_morton_potential,et_morton_potential_source,et_morton_wet,et_morton_wet_source,mslp,mslp_source,metadata
86304,2010-01-31,    0.0,0, 37.3,25, 16.5,25, 16.1,25, 31.7,26,  8.8,25,  7.9,26,  8.8,25, 5.6,26, 20.3,42, 25.2,26, 85.8,26,  6.4,26,  8.7,26, 1.6,26, 9.4,26, 5.5,26,1009.4,25,""
86304,2010-02-01,    1.2,0, 25.3,25, 16.1,25, 12.4,25, 15.7,26,  6.0,25,  6.7,26,  6.0,25, 7.1,26, 30.1,42, 38.5,26, 67.8,26,  5.9,26,  7.3,26, 4.7,26, 9.2,26, 6.9,26,1018.9,25,""
86304,2010-02-02,    0.0,0, 35.4,25, 15.4,25, 17.0,25, 26.4,26,  8.2,25,  8.2,26,  8.2,25, 7.3,26, 28.1,42, 29.6,26, 97.2,26,  6.9,26,  8.8,26, 4.6,26, 9.8,26, 7.2,26,1015.9,25,""
86304,2010-02-03,    0.0,0, 34.8,25, 17.6,25, 14.7,25, 29.0,26,  8.3,25,  8.2,26,  8.3,25, 6.8,26, 26.2,42, 26.4,26, 73.1,26,  6.8,26,  9.0,26, 2.9,26,10.5,26, 6.7,26,1014.3,25,""
86304,2010-02-04,    0.0,0, 30.4,25, 23.7,25, 15.0,25, 24.4,26,  3.2,25,  4.8,26,  3.2,25, 2.8,26,  7.8,42, 34.6,26, 51.2,26,  4.3,26,  6.2,26, 0.1,26, 5.5,26, 2.8,26,1009.2,25,""
86304,2010-02-05,    4.2,15, 19.6,25, 16.9,25, 18.7,25,  3.2,26,  2.9,25,  2.0,26,  2.9,25, 1.9,26,  7.0,42, 82.0,26, 97.2,26,  1.6,26,  1.9,26, 1.9,26, 1.9,26, 1.9,26,1014.6,25,""
86304,2010-02-06,    0.4,15, 25.8,25, 14.0,25, 12.8,25, 15.0,26,  5.0,25,  6.4,26,  5.0,25, 6.5,26, 28.0,42, 38.5,26, 80.1,26,  5.5,26,  6.8,26, 4.4,26, 8.2,26, 6.3,26,1021.4,25,""
86304,2010-02-07,    0.0,0, 32.9,25, 13.4,25, 15.6,25, 22.2,26,  6.8,25,  7.8,26,  6.8,25, 7.3,26, 29.3,42, 31.2,26,100.0,26,  6.5,26,  8.3,26, 5.1,26, 9.3,26, 7.2,26,1022.2,25,""
86304,2010-02-08,    0.0,0, 35.2,25, 15.0,25, 20.1,25, 22.7,26,  6.9,25,  7.9,26,  6.9,25, 7.8,26, 29.1,42, 35.4,26,100.0,26,  6.6,26,  8.2,26, 6.2,26, 9.1,26, 7.6,26,1021.2,25,""
86304,2010-02-09,    0.0,0, 33.4,25, 18.6,25, 20.1,25, 21.6,26,  6.9,25,  7.1,26,  6.9,25, 7.0,26, 26.2,42, 39.1,26, 93.8,26,  6.1,26,  7.7,26, 4.9,26, 8.9,26, 6.9,26,1020.0,25,""
86304,2010-02-10,    0.0,0, 33.7,25, 19.0,25, 22.1,25, 20.4,26,  4.7,25,  5.1,26,  4.7,25, 4.0,26, 12.3,42, 42.2,26,100.0,26,  4.1,26,  5.5,26, 1.8,26, 6.1,26, 4.0,26,1018.7,25,""
86304,2010-02-11,    1.0,0, 31.0,25, 18.9,25, 20.7,25, 17.0,26,  4.3,25,  4.5,26,  4.3,25, 3.6,26, 11.4,42, 46.1,26, 94.8,26,  3.7,26,  5.0,26, 1.5,26, 5.5,26, 3.5,26,1014.7,25,""
86304,2010-02-12,   25.2,0, 22.4,25, 18.7,25, 20.1,25,  5.5,26,  3.4,25,  3.1,26,  3.4,25, 3.7,26, 13.2,42, 74.2,26, 93.3,26,  2.7,26,  3.2,26, 3.5,26, 3.9,26, 3.7,26,1011.2,25,""
86304,2010-02-13,    0.0,0, 22.0,25, 17.1,25, 18.4,25,  6.1,26,  2.2,25,  2.5,26,  2.2,25, 2.4,26,  8.3,42, 69.6,26, 94.4,26,  2.1,26,  2.7,26, 1.8,26, 3.0,26, 2.4,26,1012.0,25,""
86304,2010-02-14,    1.4,15, 27.9,25, 17.7,25, 19.6,25, 12.7,26,  4.5,25,  5.4,26,  4.5,25, 5.7,26, 22.5,42, 52.2,26, 96.8,26,  4.7,26,  5.6,26, 4.6,26, 6.6,26, 5.6,26,1008.9,25,""
86304,2010-02-15,    1.4,15, 26.8,25, 18.7,25, 17.6,25, 13.6,26,  5.2,25,  4.8,26,  5.2,25, 4.6,26, 18.0,42, 50.0,26, 81.7,26,  4.3,26,  5.4,26, 2.7,26, 6.3,26, 4.5,26,1013.3,25,""
86304,2010-02-16,    0.0,0, 27.4,25, 14.5,25, 15.7,25, 14.4,26,  5.8,25,  6.5,26,  5.8,25, 7.0,26, 28.9,42, 43.0,26, 95.1,26,  5.5,26,  6.6,26, 5.6,26, 8.1,26, 6.8,26,1017.6,25,""
86304,2010-02-17,    0.0,0, 25.8,25, 13.0,25, 16.1,25, 11.3,26,  5.3,25,  6.0,26,  5.3,25, 6.6,26, 28.0,42, 48.5,26,100.0,26,  4.9,26,  5.8,26, 5.9,26, 7.0,26, 6.5,26,1017.3,25,""
86304,2010-02-18,    0.0,0, 24.8,25, 16.1,25, 15.1,25, 12.4,26,  5.3,25,  5.8,26,  5.3,25, 6.3,26, 26.7,42, 48.3,26, 82.6,26,  5.0,26,  6.0,26, 4.8,26, 7.5,26, 6.2,26,1023.6,25,""
86304,2010-02-19,    0.0,0, 32.7,25, 16.0,25, 14.3,25, 24.7,26,  8.2,25,  7.8,26,  8.2,25, 6.9,26, 27.5,42, 28.9,26, 78.7,26,  6.4,26,  8.4,26, 3.6,26, 9.9,26, 6.8,26,1021.9,25,""
86304,2010-02-20,    0.0,0, 34.6,25, 21.2,25, 13.5,25, 32.1,26, 11.0,25,  8.2,26, 11.0,25, 6.5,26, 24.6,42, 24.5,26, 53.6,26,  6.7,26,  9.1,26, 1.4,26,11.4,26, 6.4,26,1015.1,25,""
86304,2010-02-21,    0.0,0, 28.5,25, 21.1,25, 18.5,25, 16.4,26,  5.2,25,  6.1,26,  5.2,25, 6.4,26, 24.8,42, 47.5,26, 74.0,26,  5.4,26,  6.7,26, 4.2,26, 8.4,26, 6.3,26,1011.1,25,""
86304,2010-02-22,    0.0,0, 28.5,25, 17.7,25, 18.1,25, 15.1,26,  7.1,25,  4.9,26,  7.1,25, 4.3,26, 16.8,42, 46.5,26, 89.4,26,  4.2,26,  5.4,26, 2.4,26, 6.1,26, 4.3,26,1012.1,25,""
86304,2010-02-23,    0.0,0, 22.7,25, 12.6,25, 11.0,25, 12.6,26,  4.4,25,  5.8,26,  4.4,25, 5.6,26, 26.0,42, 39.9,26, 75.4,26,  4.7,26,  5.9,26, 3.6,26, 7.4,26, 5.5,26,1020.7,25,""
86304,2010-02-24,    0.0,0, 23.0,25,  9.2,25, 12.4,25, 10.3,26,  5.3,25,  5.7,26,  5.3,25, 5.8,26, 27.1,42, 44.2,26,100.0,26,  4.4,26,  5.3,26, 5.0,26, 6.4,26, 5.7,26,1022.9,25,""
86304,2010-02-25,    0.0,0, 25.9,25, 10.1,25, 13.3,25, 13.0,26,  5.6,25,  6.1,26,  5.6,25, 6.0,26, 26.9,42, 39.8,26,100.0,26,  4.8,26,  5.9,26, 4.8,26, 6.9,26, 5.9,26,1026.5,25,""
86304,2010-02-26,    0.0,0, 33.6,25, 13.7,25, 15.1,25, 24.1,26,  8.9,25,  7.5,26,  8.9,25, 6.2,26, 25.3,42, 29.0,26, 96.4,26,  6.0,26,  7.9,26, 3.4,26, 8.8,26, 6.1,26,1022.4,25,""
86304,2010-02-27,    0.0,0, 22.9,25, 21.7,25, 20.5,25,  6.9,26,  3.8,25,  2.0,26,  3.8,25, 1.2,26,  3.5,42, 73.4,26, 79.0,26,  1.8,26,  2.5,26, 0.6,26, 2.0,26, 1.3,26,1017.2,25,""
86304,2010-02-28,    0.0,0, 20.3,25, 15.4,25, 11.9,25, 10.2,26,  3.6,25,  4.0,26,  3.6,25, 3.3,26, 15.5,42, 50.0,26, 68.1,26,  3.5,26,  4.6,26, 1.2,26, 5.4,26, 3.3,26,1021.8,25,""
86304,2010-03-01,    0.0,0, 21.3,25, 13.0,25,  8.9,25, 13.4,26,  4.3,25,  4.4,26,  4.3,25, 3.7,26, 18.1,42, 35.1,26, 59.5,26,  4.1,26,  5.5,26, 0.7,26, 6.6,26, 3.6,26,1023.9,25,""
